"Town","FIPS","Year","Householder Status","Measure Type","Variable","Value"
"Ansonia","0900901220","2013-2017","Homeowner","Percent","Margins of Error",7.62
"Ansonia","0900901220","2013-2017","Renter","Number","Cost-burdened Households",1680
"Ansonia","0900901220","2013-2017","Renter","Number","Margins of Error",285.46
"Ansonia","0900901220","2013-2017","Renter","Percent","Cost-burdened Households",63.6
"Ansonia","0900901220","2013-2017","Renter","Percent","Margins of Error",8.73
"Ansonia","0900901220","2014-2018","All","Number","Cost-burdened Households",2780
"Ansonia","0900901220","2014-2018","All","Number","Margins of Error",397.67
"Ansonia","0900901220","2014-2018","All","Percent","Cost-burdened Households",48.71
"Ansonia","0900901220","2014-2018","All","Percent","Margins of Error",5.63
"Ansonia","0900901220","2014-2018","Homeowner","Number","Cost-burdened Households",1200
"Ansonia","0900901220","2014-2018","Homeowner","Number","Margins of Error",299.71
"Ansonia","0900901220","2014-2018","Homeowner","Percent","Cost-burdened Households",40.8
"Ansonia","0900901220","2014-2018","Homeowner","Percent","Margins of Error",8.9
"Ansonia","0900901220","2014-2018","Renter","Number","Cost-burdened Households",1580
"Ansonia","0900901220","2014-2018","Renter","Number","Margins of Error",261.38
"Ansonia","0900901220","2014-2018","Renter","Percent","Cost-burdened Households",57.1
"Ansonia","0900901220","2014-2018","Renter","Percent","Margins of Error",8.32
"Ansonia","0900901220","2015-2019","All","Number","Cost-burdened Households",2747
"Ansonia","0900901220","2015-2019","All","Number","Margins of Error",434.59
"Ansonia","0900901220","2015-2019","All","Percent","Cost-burdened Households",47.57
"Ansonia","0900901220","2015-2019","All","Percent","Margins of Error",6.17
"Ansonia","0900901220","2015-2019","Homeowner","Number","Cost-burdened Households",1081
"Ansonia","0900901220","2015-2019","Homeowner","Number","Margins of Error",248.68
"Ansonia","0900901220","2015-2019","Homeowner","Percent","Cost-burdened Households",37.5
"Ansonia","0900901220","2015-2019","Homeowner","Percent","Margins of Error",7.88
"Ansonia","0900901220","2015-2019","Renter","Number","Cost-burdened Households",1666
"Ansonia","0900901220","2015-2019","Renter","Number","Margins of Error",356.41
"Ansonia","0900901220","2015-2019","Renter","Percent","Cost-burdened Households",57.5
"Ansonia","0900901220","2015-2019","Renter","Percent","Margins of Error",8.95
"Ashford","0901501430","2006-2010","All","Number","Cost-burdened Households",599
"Ashford","0901501430","2006-2010","All","Number","Margins of Error",131.3
"Ashford","0901501430","2006-2010","All","Percent","Cost-burdened Households",43.53
"Ashford","0901501430","2006-2010","All","Percent","Margins of Error",8.28
"Ashford","0901501430","2006-2010","Homeowner","Number","Cost-burdened Households",402
"Ashford","0901501430","2006-2010","Homeowner","Number","Margins of Error",108.91
