"Town","FIPS","Year","Householder Status","Measure Type","Variable","Value"
"Eastford","0901521860","2012-2016","All","Percent","Cost-burdened Households",28.46
"Eastford","0901521860","2012-2016","All","Percent","Margins of Error",7.92
"Eastford","0901521860","2012-2016","Homeowner","Number","Cost-burdened Households",86
"Eastford","0901521860","2012-2016","Homeowner","Number","Margins of Error",30.36
"Eastford","0901521860","2012-2016","Homeowner","Percent","Cost-burdened Households",22
"Eastford","0901521860","2012-2016","Homeowner","Percent","Margins of Error",7.21
"Eastford","0901521860","2012-2016","Renter","Number","Cost-burdened Households",56
"Eastford","0901521860","2012-2016","Renter","Number","Margins of Error",30.23
"Eastford","0901521860","2012-2016","Renter","Percent","Cost-burdened Households",51.3
"Eastford","0901521860","2012-2016","Renter","Percent","Margins of Error",24.26
"Eastford","0901521860","2013-2017","All","Number","Cost-burdened Households",128
"Eastford","0901521860","2013-2017","All","Number","Margins of Error",38.34
"Eastford","0901521860","2013-2017","All","Percent","Cost-burdened Households",25.75
"Eastford","0901521860","2013-2017","All","Percent","Margins of Error",7.04
"Eastford","0901521860","2013-2017","Homeowner","Number","Cost-burdened Households",87
"Eastford","0901521860","2013-2017","Homeowner","Number","Margins of Error",29.41
"Eastford","0901521860","2013-2017","Homeowner","Percent","Cost-burdened Households",22.1
"Eastford","0901521860","2013-2017","Homeowner","Percent","Margins of Error",7.27
"Eastford","0901521860","2013-2017","Renter","Number","Cost-burdened Households",41
"Eastford","0901521860","2013-2017","Renter","Number","Margins of Error",24.6
"Eastford","0901521860","2013-2017","Renter","Percent","Cost-burdened Households",39.4
"Eastford","0901521860","2013-2017","Renter","Percent","Margins of Error",21.61
"Eastford","0901521860","2014-2018","All","Number","Cost-burdened Households",144
"Eastford","0901521860","2014-2018","All","Number","Margins of Error",42.95
"Eastford","0901521860","2014-2018","All","Percent","Cost-burdened Households",26.77
"Eastford","0901521860","2014-2018","All","Percent","Margins of Error",7.51
"Eastford","0901521860","2014-2018","Homeowner","Number","Cost-burdened Households",91
"Eastford","0901521860","2014-2018","Homeowner","Number","Margins of Error",33.54
"Eastford","0901521860","2014-2018","Homeowner","Percent","Cost-burdened Households",21.8
"Eastford","0901521860","2014-2018","Homeowner","Percent","Margins of Error",7.33
"Eastford","0901521860","2014-2018","Renter","Number","Cost-burdened Households",53
"Eastford","0901521860","2014-2018","Renter","Number","Margins of Error",26.83
"Eastford","0901521860","2014-2018","Renter","Percent","Cost-burdened Households",43.8
"Eastford","0901521860","2014-2018","Renter","Percent","Margins of Error",17.59
"Eastford","0901521860","2015-2019","All","Number","Cost-burdened Households",120
"Eastford","0901521860","2015-2019","All","Number","Margins of Error",41.7
"Eastford","0901521860","2015-2019","All","Percent","Cost-burdened Households",25.42
"Eastford","0901521860","2015-2019","All","Percent","Margins of Error",8.33
"Eastford","0901521860","2015-2019","Homeowner","Number","Cost-burdened Households",76
"Eastford","0901521860","2015-2019","Homeowner","Number","Margins of Error",32.28
"Eastford","0901521860","2015-2019","Homeowner","Percent","Cost-burdened Households",19.8
"Eastford","0901521860","2015-2019","Homeowner","Percent","Margins of Error",8.3
"Eastford","0901521860","2015-2019","Renter","Number","Cost-burdened Households",44
"Eastford","0901521860","2015-2019","Renter","Number","Margins of Error",26.4
"Eastford","0901521860","2015-2019","Renter","Percent","Cost-burdened Households",50
"Eastford","0901521860","2015-2019","Renter","Percent","Margins of Error",25.41
"Easton","0900123890","2006-2010","All","Number","Cost-burdened Households",681
"Easton","0900123890","2006-2010","All","Number","Margins of Error",181.63
"Easton","0900123890","2006-2010","All","Percent","Cost-burdened Households",41.35
"Easton","0900123890","2006-2010","All","Percent","Margins of Error",10.61
"Easton","0900123890","2006-2010","Homeowner","Number","Cost-burdened Households",674
"Easton","0900123890","2006-2010","Homeowner","Number","Margins of Error",133.2
"Easton","0900123890","2006-2010","Homeowner","Percent","Cost-burdened Households",41.6
"Easton","0900123890","2006-2010","Homeowner","Percent","Margins of Error",7.52
"Easton","0900123890","2006-2010","Renter","Number","Cost-burdened Households",7
"Easton","0900123890","2006-2010","Renter","Number","Margins of Error",123.49
"Easton","0900123890","2006-2010","Renter","Percent","Cost-burdened Households",24.1
"Easton","0900123890","2006-2010","Renter","Percent","Margins of Error",67.93
"Easton","0900123890","2007-2011","All","Number","Cost-burdened Households",829
"Easton","0900123890","2007-2011","All","Number","Margins of Error",202.53
"Easton","0900123890","2007-2011","All","Percent","Cost-burdened Households",45.52
"Easton","0900123890","2007-2011","All","Percent","Margins of Error",10.55
"Easton","0900123890","2007-2011","Homeowner","Number","Cost-burdened Households",817
"Easton","0900123890","2007-2011","Homeowner","Number","Margins of Error",179.8
"Easton","0900123890","2007-2011","Homeowner","Percent","Cost-burdened Households",45.7
"Easton","0900123890","2007-2011","Homeowner","Percent","Margins of Error",8.87
"Easton","0900123890","2007-2011","Renter","Number","Cost-burdened Households",12
"Easton","0900123890","2007-2011","Renter","Number","Margins of Error",93.21
"Easton","0900123890","2007-2011","Renter","Percent","Cost-burdened Households",37.5
"Easton","0900123890","2007-2011","Renter","Percent","Margins of Error",69.22
"Easton","0900123890","2008-2012","All","Number","Cost-burdened Households",938
"Easton","0900123890","2008-2012","All","Number","Margins of Error",158.08
"Easton","0900123890","2008-2012","All","Percent","Cost-burdened Households",50.05
"Easton","0900123890","2008-2012","All","Percent","Margins of Error",7.61
"Easton","0900123890","2008-2012","Homeowner","Number","Cost-burdened Households",925
"Easton","0900123890","2008-2012","Homeowner","Number","Margins of Error",156.54
"Easton","0900123890","2008-2012","Homeowner","Percent","Cost-burdened Households",50.3
"Easton","0900123890","2008-2012","Homeowner","Percent","Margins of Error",8.01
"Easton","0900123890","2008-2012","Renter","Number","Cost-burdened Households",13
"Easton","0900123890","2008-2012","Renter","Number","Margins of Error",22.02
"Easton","0900123890","2008-2012","Renter","Percent","Cost-burdened Households",38.2
"Easton","0900123890","2008-2012","Renter","Percent","Margins of Error",62.96
"Easton","0900123890","2009-2013","All","Number","Cost-burdened Households",958
"Easton","0900123890","2009-2013","All","Number","Margins of Error",165.25
"Easton","0900123890","2009-2013","All","Percent","Cost-burdened Households",49.77
"Easton","0900123890","2009-2013","All","Percent","Margins of Error",7.74
"Easton","0900123890","2009-2013","Homeowner","Number","Cost-burdened Households",931
"Easton","0900123890","2009-2013","Homeowner","Number","Margins of Error",162.89
"Easton","0900123890","2009-2013","Homeowner","Percent","Cost-burdened Households",50.3
"Easton","0900123890","2009-2013","Homeowner","Percent","Margins of Error",8.08
"Easton","0900123890","2009-2013","Renter","Number","Cost-burdened Households",27
"Easton","0900123890","2009-2013","Renter","Number","Margins of Error",27.8
"Easton","0900123890","2009-2013","Renter","Percent","Cost-burdened Households",37
"Easton","0900123890","2009-2013","Renter","Percent","Margins of Error",42.94
"Easton","0900123890","2010-2014","All","Number","Cost-burdened Households",953
"Easton","0900123890","2010-2014","All","Number","Margins of Error",183.1
"Easton","0900123890","2010-2014","All","Percent","Cost-burdened Households",50.16
"Easton","0900123890","2010-2014","All","Percent","Margins of Error",9.08
"Easton","0900123890","2010-2014","Homeowner","Number","Cost-burdened Households",926
"Easton","0900123890","2010-2014","Homeowner","Number","Margins of Error",180.29
"Easton","0900123890","2010-2014","Homeowner","Percent","Cost-burdened Households",51.8
"Easton","0900123890","2010-2014","Homeowner","Percent","Margins of Error",9.24
"Easton","0900123890","2010-2014","Renter","Number","Cost-burdened Households",27
"Easton","0900123890","2010-2014","Renter","Number","Margins of Error",31.91
"Easton","0900123890","2010-2014","Renter","Percent","Cost-burdened Households",23.7
"Easton","0900123890","2010-2014","Renter","Percent","Margins of Error",36.32
"Easton","0900123890","2011-2015","All","Number","Cost-burdened Households",1046
"Easton","0900123890","2011-2015","All","Number","Margins of Error",161.7
"Easton","0900123890","2011-2015","All","Percent","Cost-burdened Households",54
"Easton","0900123890","2011-2015","All","Percent","Margins of Error",7.52
"Easton","0900123890","2011-2015","Homeowner","Number","Cost-burdened Households",999
"Easton","0900123890","2011-2015","Homeowner","Number","Margins of Error",156.49
"Easton","0900123890","2011-2015","Homeowner","Percent","Cost-burdened Households",55.2
"Easton","0900123890","2011-2015","Homeowner","Percent","Margins of Error",8.4
"Easton","0900123890","2011-2015","Renter","Number","Cost-burdened Households",47
"Easton","0900123890","2011-2015","Renter","Number","Margins of Error",40.72
"Easton","0900123890","2011-2015","Renter","Percent","Cost-burdened Households",37.6
"Easton","0900123890","2011-2015","Renter","Percent","Margins of Error",34.9
"Easton","0900123890","2012-2016","All","Number","Cost-burdened Households",1006
"Easton","0900123890","2012-2016","All","Number","Margins of Error",189.34
"Easton","0900123890","2012-2016","All","Percent","Cost-burdened Households",52.86
"Easton","0900123890","2012-2016","All","Percent","Margins of Error",9.27
"Easton","0900123890","2012-2016","Homeowner","Number","Cost-burdened Households",969
"Easton","0900123890","2012-2016","Homeowner","Number","Margins of Error",185.3
"Easton","0900123890","2012-2016","Homeowner","Percent","Cost-burdened Households",54.5
"Easton","0900123890","2012-2016","Homeowner","Percent","Margins of Error",9.6
"Easton","0900123890","2012-2016","Renter","Number","Cost-burdened Households",37
"Easton","0900123890","2012-2016","Renter","Number","Margins of Error",38.91
"Easton","0900123890","2012-2016","Renter","Percent","Cost-burdened Households",29.4
"Easton","0900123890","2012-2016","Renter","Percent","Margins of Error",35.84
"Easton","0900123890","2013-2017","All","Number","Cost-burdened Households",939
"Easton","0900123890","2013-2017","All","Number","Margins of Error",163.95
"Easton","0900123890","2013-2017","All","Percent","Cost-burdened Households",48.98
"Easton","0900123890","2013-2017","All","Percent","Margins of Error",7.81
"Easton","0900123890","2013-2017","Homeowner","Number","Cost-burdened Households",898
"Easton","0900123890","2013-2017","Homeowner","Number","Margins of Error",158.81
"Easton","0900123890","2013-2017","Homeowner","Percent","Cost-burdened Households",50.4
"Easton","0900123890","2013-2017","Homeowner","Percent","Margins of Error",8.15
"Easton","0900123890","2013-2017","Renter","Number","Cost-burdened Households",41
"Easton","0900123890","2013-2017","Renter","Number","Margins of Error",40.72
"Easton","0900123890","2013-2017","Renter","Percent","Cost-burdened Households",30.8
"Easton","0900123890","2013-2017","Renter","Percent","Margins of Error",34.2
"Easton","0900123890","2014-2018","All","Number","Cost-burdened Households",870
"Easton","0900123890","2014-2018","All","Number","Margins of Error",183.56
"Easton","0900123890","2014-2018","All","Percent","Cost-burdened Households",44.89
"Easton","0900123890","2014-2018","All","Percent","Margins of Error",8.62
"Easton","0900123890","2014-2018","Homeowner","Number","Cost-burdened Households",844
"Easton","0900123890","2014-2018","Homeowner","Number","Margins of Error",182
"Easton","0900123890","2014-2018","Homeowner","Percent","Cost-burdened Households",46.4
"Easton","0900123890","2014-2018","Homeowner","Percent","Margins of Error",8.14
"Easton","0900123890","2014-2018","Renter","Number","Cost-burdened Households",26
"Easton","0900123890","2014-2018","Renter","Number","Margins of Error",23.85
"Easton","0900123890","2014-2018","Renter","Percent","Cost-burdened Households",21.8
"Easton","0900123890","2014-2018","Renter","Percent","Margins of Error",20.19
"Easton","0900123890","2015-2019","All","Number","Cost-burdened Households",757
"Easton","0900123890","2015-2019","All","Number","Margins of Error",150.99
"Easton","0900123890","2015-2019","All","Percent","Cost-burdened Households",39.22
"Easton","0900123890","2015-2019","All","Percent","Margins of Error",7.06
"Easton","0900123890","2015-2019","Homeowner","Number","Cost-burdened Households",719
"Easton","0900123890","2015-2019","Homeowner","Number","Margins of Error",145.96
"Easton","0900123890","2015-2019","Homeowner","Percent","Cost-burdened Households",41.3
"Easton","0900123890","2015-2019","Homeowner","Percent","Margins of Error",8.17
"Easton","0900123890","2015-2019","Renter","Number","Cost-burdened Households",38
"Easton","0900123890","2015-2019","Renter","Number","Margins of Error",38.63
"Easton","0900123890","2015-2019","Renter","Percent","Cost-burdened Households",20.3
"Easton","0900123890","2015-2019","Renter","Percent","Margins of Error",20.43
"Ellington","0901325360","2006-2010","All","Number","Cost-burdened Households",1729
"Ellington","0901325360","2006-2010","All","Number","Margins of Error",278.06
"Ellington","0901325360","2006-2010","All","Percent","Cost-burdened Households",34.74
"Ellington","0901325360","2006-2010","All","Percent","Margins of Error",5.22
"Ellington","0901325360","2006-2010","Homeowner","Number","Cost-burdened Households",916
"Ellington","0901325360","2006-2010","Homeowner","Number","Margins of Error",183.88
"Ellington","0901325360","2006-2010","Homeowner","Percent","Cost-burdened Households",29.6
"Ellington","0901325360","2006-2010","Homeowner","Percent","Margins of Error",5.42
"Ellington","0901325360","2006-2010","Renter","Number","Cost-burdened Households",813
"Ellington","0901325360","2006-2010","Renter","Number","Margins of Error",208.58
"Ellington","0901325360","2006-2010","Renter","Percent","Cost-burdened Households",43.4
"Ellington","0901325360","2006-2010","Renter","Percent","Margins of Error",10.56
"Ellington","0901325360","2007-2011","All","Number","Cost-burdened Households",1687
"Ellington","0901325360","2007-2011","All","Number","Margins of Error",283.09
"Ellington","0901325360","2007-2011","All","Percent","Cost-burdened Households",34.23
"Ellington","0901325360","2007-2011","All","Percent","Margins of Error",5.16
"Ellington","0901325360","2007-2011","Homeowner","Number","Cost-burdened Households",926
"Ellington","0901325360","2007-2011","Homeowner","Number","Margins of Error",183.34
"Ellington","0901325360","2007-2011","Homeowner","Percent","Cost-burdened Households",29.5
"Ellington","0901325360","2007-2011","Homeowner","Percent","Margins of Error",5.35
"Ellington","0901325360","2007-2011","Renter","Number","Cost-burdened Households",761
"Ellington","0901325360","2007-2011","Renter","Number","Margins of Error",215.7
"Ellington","0901325360","2007-2011","Renter","Percent","Cost-burdened Households",42.5
"Ellington","0901325360","2007-2011","Renter","Percent","Margins of Error",11.75
"Ellington","0901325360","2008-2012","All","Number","Cost-burdened Households",1644
"Ellington","0901325360","2008-2012","All","Number","Margins of Error",303.07
"Ellington","0901325360","2008-2012","All","Percent","Cost-burdened Households",32.76
"Ellington","0901325360","2008-2012","All","Percent","Margins of Error",5.47
"Ellington","0901325360","2008-2012","Homeowner","Number","Cost-burdened Households",977
"Ellington","0901325360","2008-2012","Homeowner","Number","Margins of Error",226.24
"Ellington","0901325360","2008-2012","Homeowner","Percent","Cost-burdened Households",29.6
"Ellington","0901325360","2008-2012","Homeowner","Percent","Margins of Error",6.33
"Ellington","0901325360","2008-2012","Renter","Number","Cost-burdened Households",667
"Ellington","0901325360","2008-2012","Renter","Number","Margins of Error",201.66
"Ellington","0901325360","2008-2012","Renter","Percent","Cost-burdened Households",38.9
"Ellington","0901325360","2008-2012","Renter","Percent","Margins of Error",11.45
"Ellington","0901325360","2009-2013","All","Number","Cost-burdened Households",1560
"Ellington","0901325360","2009-2013","All","Number","Margins of Error",298.25
"Ellington","0901325360","2009-2013","All","Percent","Cost-burdened Households",30.69
"Ellington","0901325360","2009-2013","All","Percent","Margins of Error",5.37
"Ellington","0901325360","2009-2013","Homeowner","Number","Cost-burdened Households",935
"Ellington","0901325360","2009-2013","Homeowner","Number","Margins of Error",219.39
"Ellington","0901325360","2009-2013","Homeowner","Percent","Cost-burdened Households",29.4
"Ellington","0901325360","2009-2013","Homeowner","Percent","Margins of Error",6.2
"Ellington","0901325360","2009-2013","Renter","Number","Cost-burdened Households",625
"Ellington","0901325360","2009-2013","Renter","Number","Margins of Error",202.05
"Ellington","0901325360","2009-2013","Renter","Percent","Cost-burdened Households",32.7
"Ellington","0901325360","2009-2013","Renter","Percent","Margins of Error",10.27
"Ellington","0901325360","2010-2014","All","Number","Cost-burdened Households",1592
"Ellington","0901325360","2010-2014","All","Number","Margins of Error",312.47
"Ellington","0901325360","2010-2014","All","Percent","Cost-burdened Households",30.23
"Ellington","0901325360","2010-2014","All","Percent","Margins of Error",5.46
"Ellington","0901325360","2010-2014","Homeowner","Number","Cost-burdened Households",951
"Ellington","0901325360","2010-2014","Homeowner","Number","Margins of Error",231.6
"Ellington","0901325360","2010-2014","Homeowner","Percent","Cost-burdened Households",28.2
"Ellington","0901325360","2010-2014","Homeowner","Percent","Margins of Error",6.48
"Ellington","0901325360","2010-2014","Renter","Number","Cost-burdened Households",641
"Ellington","0901325360","2010-2014","Renter","Number","Margins of Error",209.75
"Ellington","0901325360","2010-2014","Renter","Percent","Cost-burdened Households",33.6
"Ellington","0901325360","2010-2014","Renter","Percent","Margins of Error",10.72
"Ellington","0901325360","2011-2015","All","Number","Cost-burdened Households",1497
"Ellington","0901325360","2011-2015","All","Number","Margins of Error",299.62
"Ellington","0901325360","2011-2015","All","Percent","Cost-burdened Households",29.11
"Ellington","0901325360","2011-2015","All","Percent","Margins of Error",5.24
"Ellington","0901325360","2011-2015","Homeowner","Number","Cost-burdened Households",859
"Ellington","0901325360","2011-2015","Homeowner","Number","Margins of Error",204.14
"Ellington","0901325360","2011-2015","Homeowner","Percent","Cost-burdened Households",27
"Ellington","0901325360","2011-2015","Homeowner","Percent","Margins of Error",6.4
"Ellington","0901325360","2011-2015","Renter","Number","Cost-burdened Households",638
"Ellington","0901325360","2011-2015","Renter","Number","Margins of Error",219.31
"Ellington","0901325360","2011-2015","Renter","Percent","Cost-burdened Households",32.7
"Ellington","0901325360","2011-2015","Renter","Percent","Margins of Error",10.66
"Ellington","0901325360","2012-2016","All","Number","Cost-burdened Households",1764
"Ellington","0901325360","2012-2016","All","Number","Margins of Error",372.39
"Ellington","0901325360","2012-2016","All","Percent","Cost-burdened Households",32.65
"Ellington","0901325360","2012-2016","All","Percent","Margins of Error",6.24
"Ellington","0901325360","2012-2016","Homeowner","Number","Cost-burdened Households",851
"Ellington","0901325360","2012-2016","Homeowner","Number","Margins of Error",218.68
"Ellington","0901325360","2012-2016","Homeowner","Percent","Cost-burdened Households",26.7
"Ellington","0901325360","2012-2016","Homeowner","Percent","Margins of Error",6.64
"Ellington","0901325360","2012-2016","Renter","Number","Cost-burdened Households",913
"Ellington","0901325360","2012-2016","Renter","Number","Margins of Error",301.42
"Ellington","0901325360","2012-2016","Renter","Percent","Cost-burdened Households",41.3
"Ellington","0901325360","2012-2016","Renter","Percent","Margins of Error",12.7
"Ellington","0901325360","2013-2017","All","Number","Cost-burdened Households",1577
"Ellington","0901325360","2013-2017","All","Number","Margins of Error",373.07
"Ellington","0901325360","2013-2017","All","Percent","Cost-burdened Households",28.43
"Ellington","0901325360","2013-2017","All","Percent","Margins of Error",6.32
"Ellington","0901325360","2013-2017","Homeowner","Number","Cost-burdened Households",633
"Ellington","0901325360","2013-2017","Homeowner","Number","Margins of Error",198.71
"Ellington","0901325360","2013-2017","Homeowner","Percent","Cost-burdened Households",19.1
"Ellington","0901325360","2013-2017","Homeowner","Percent","Margins of Error",5.87
"Ellington","0901325360","2013-2017","Renter","Number","Cost-burdened Households",944
"Ellington","0901325360","2013-2017","Renter","Number","Margins of Error",315.75
"Ellington","0901325360","2013-2017","Renter","Percent","Cost-burdened Households",42.3
"Ellington","0901325360","2013-2017","Renter","Percent","Margins of Error",13.45
"Ellington","0901325360","2014-2018","All","Number","Cost-burdened Households",1739
"Ellington","0901325360","2014-2018","All","Number","Margins of Error",373.83
"Ellington","0901325360","2014-2018","All","Percent","Cost-burdened Households",30.75
"Ellington","0901325360","2014-2018","All","Percent","Margins of Error",6.09
"Ellington","0901325360","2014-2018","Homeowner","Number","Cost-burdened Households",654
"Ellington","0901325360","2014-2018","Homeowner","Number","Margins of Error",188.6
"Ellington","0901325360","2014-2018","Homeowner","Percent","Cost-burdened Households",20.6
"Ellington","0901325360","2014-2018","Homeowner","Percent","Margins of Error",5.86
"Ellington","0901325360","2014-2018","Renter","Number","Cost-burdened Households",1085
"Ellington","0901325360","2014-2018","Renter","Number","Margins of Error",322.77
"Ellington","0901325360","2014-2018","Renter","Percent","Cost-burdened Households",43.5
"Ellington","0901325360","2014-2018","Renter","Percent","Margins of Error",11.87
"Ellington","0901325360","2015-2019","All","Number","Cost-burdened Households",1675
"Ellington","0901325360","2015-2019","All","Number","Margins of Error",396.08
"Ellington","0901325360","2015-2019","All","Percent","Cost-burdened Households",29.94
"Ellington","0901325360","2015-2019","All","Percent","Margins of Error",6.57
"Ellington","0901325360","2015-2019","Homeowner","Number","Cost-burdened Households",651
"Ellington","0901325360","2015-2019","Homeowner","Number","Margins of Error",208.91
"Ellington","0901325360","2015-2019","Homeowner","Percent","Cost-burdened Households",21.4
"Ellington","0901325360","2015-2019","Homeowner","Percent","Margins of Error",6.84
"Ellington","0901325360","2015-2019","Renter","Number","Cost-burdened Households",1024
"Ellington","0901325360","2015-2019","Renter","Number","Margins of Error",336.51
"Ellington","0901325360","2015-2019","Renter","Percent","Cost-burdened Households",40
"Ellington","0901325360","2015-2019","Renter","Percent","Margins of Error",11.59
"Enfield","0900325990","2006-2010","All","Number","Cost-burdened Households",4374
"Enfield","0900325990","2006-2010","All","Number","Margins of Error",373.21
"Enfield","0900325990","2006-2010","All","Percent","Cost-burdened Households",35.69
"Enfield","0900325990","2006-2010","All","Percent","Margins of Error",2.74
"Enfield","0900325990","2006-2010","Homeowner","Number","Cost-burdened Households",2733
"Enfield","0900325990","2006-2010","Homeowner","Number","Margins of Error",283.99
"Enfield","0900325990","2006-2010","Homeowner","Percent","Cost-burdened Households",31.5
"Enfield","0900325990","2006-2010","Homeowner","Percent","Margins of Error",3.12
"Enfield","0900325990","2006-2010","Renter","Number","Cost-burdened Households",1641
"Enfield","0900325990","2006-2010","Renter","Number","Margins of Error",242.16
"Enfield","0900325990","2006-2010","Renter","Percent","Cost-burdened Households",45.8
"Enfield","0900325990","2006-2010","Renter","Percent","Margins of Error",6.32
"Enfield","0900325990","2007-2011","All","Number","Cost-burdened Households",4547
"Enfield","0900325990","2007-2011","All","Number","Margins of Error",391.93
"Enfield","0900325990","2007-2011","All","Percent","Cost-burdened Households",37.43
"Enfield","0900325990","2007-2011","All","Percent","Margins of Error",2.89
"Enfield","0900325990","2007-2011","Homeowner","Number","Cost-burdened Households",2770
"Enfield","0900325990","2007-2011","Homeowner","Number","Margins of Error",312.07
"Enfield","0900325990","2007-2011","Homeowner","Percent","Cost-burdened Households",32
"Enfield","0900325990","2007-2011","Homeowner","Percent","Margins of Error",3.25
"Enfield","0900325990","2007-2011","Renter","Number","Cost-burdened Households",1777
"Enfield","0900325990","2007-2011","Renter","Number","Margins of Error",237.12
"Enfield","0900325990","2007-2011","Renter","Percent","Cost-burdened Households",50.9
"Enfield","0900325990","2007-2011","Renter","Percent","Margins of Error",5.85
"Enfield","0900325990","2008-2012","All","Number","Cost-burdened Households",4353
"Enfield","0900325990","2008-2012","All","Number","Margins of Error",377.23
"Enfield","0900325990","2008-2012","All","Percent","Cost-burdened Households",36.23
"Enfield","0900325990","2008-2012","All","Percent","Margins of Error",2.77
"Enfield","0900325990","2008-2012","Homeowner","Number","Cost-burdened Households",2610
"Enfield","0900325990","2008-2012","Homeowner","Number","Margins of Error",258.82
"Enfield","0900325990","2008-2012","Homeowner","Percent","Cost-burdened Households",30.5
"Enfield","0900325990","2008-2012","Homeowner","Percent","Margins of Error",2.97
"Enfield","0900325990","2008-2012","Renter","Number","Cost-burdened Households",1743
"Enfield","0900325990","2008-2012","Renter","Number","Margins of Error",274.43
"Enfield","0900325990","2008-2012","Renter","Percent","Cost-burdened Households",50.4
"Enfield","0900325990","2008-2012","Renter","Percent","Margins of Error",7.29
"Enfield","0900325990","2009-2013","All","Number","Cost-burdened Households",4237
"Enfield","0900325990","2009-2013","All","Number","Margins of Error",415.1
"Enfield","0900325990","2009-2013","All","Percent","Cost-burdened Households",34.95
"Enfield","0900325990","2009-2013","All","Percent","Margins of Error",3.19
"Enfield","0900325990","2009-2013","Homeowner","Number","Cost-burdened Households",2483
"Enfield","0900325990","2009-2013","Homeowner","Number","Margins of Error",276.55
"Enfield","0900325990","2009-2013","Homeowner","Percent","Cost-burdened Households",29.5
"Enfield","0900325990","2009-2013","Homeowner","Percent","Margins of Error",3.11
"Enfield","0900325990","2009-2013","Renter","Number","Cost-burdened Households",1754
"Enfield","0900325990","2009-2013","Renter","Number","Margins of Error",309.55
"Enfield","0900325990","2009-2013","Renter","Percent","Cost-burdened Households",47.4
"Enfield","0900325990","2009-2013","Renter","Percent","Margins of Error",8.13
"Enfield","0900325990","2010-2014","All","Number","Cost-burdened Households",4002
"Enfield","0900325990","2010-2014","All","Number","Margins of Error",394.41
"Enfield","0900325990","2010-2014","All","Percent","Cost-burdened Households",32.97
"Enfield","0900325990","2010-2014","All","Percent","Margins of Error",3.03
"Enfield","0900325990","2010-2014","Homeowner","Number","Cost-burdened Households",2362
"Enfield","0900325990","2010-2014","Homeowner","Number","Margins of Error",294.93
"Enfield","0900325990","2010-2014","Homeowner","Percent","Cost-burdened Households",28.3
"Enfield","0900325990","2010-2014","Homeowner","Percent","Margins of Error",3.44
"Enfield","0900325990","2010-2014","Renter","Number","Cost-burdened Households",1640
"Enfield","0900325990","2010-2014","Renter","Number","Margins of Error",261.88
"Enfield","0900325990","2010-2014","Renter","Percent","Cost-burdened Households",43
"Enfield","0900325990","2010-2014","Renter","Percent","Margins of Error",6.72
"Enfield","0900325990","2011-2015","All","Number","Cost-burdened Households",3932
"Enfield","0900325990","2011-2015","All","Number","Margins of Error",385.26
"Enfield","0900325990","2011-2015","All","Percent","Cost-burdened Households",32.24
"Enfield","0900325990","2011-2015","All","Percent","Margins of Error",2.88
"Enfield","0900325990","2011-2015","Homeowner","Number","Cost-burdened Households",2233
"Enfield","0900325990","2011-2015","Homeowner","Number","Margins of Error",265.45
"Enfield","0900325990","2011-2015","Homeowner","Percent","Cost-burdened Households",27.2
"Enfield","0900325990","2011-2015","Homeowner","Percent","Margins of Error",3.05
"Enfield","0900325990","2011-2015","Renter","Number","Cost-burdened Households",1699
"Enfield","0900325990","2011-2015","Renter","Number","Margins of Error",279.22
"Enfield","0900325990","2011-2015","Renter","Percent","Cost-burdened Households",42.5
"Enfield","0900325990","2011-2015","Renter","Percent","Margins of Error",6.64
"Enfield","0900325990","2012-2016","All","Number","Cost-burdened Households",3562
"Enfield","0900325990","2012-2016","All","Number","Margins of Error",375.48
"Enfield","0900325990","2012-2016","All","Percent","Cost-burdened Households",29.23
"Enfield","0900325990","2012-2016","All","Percent","Margins of Error",2.85
"Enfield","0900325990","2012-2016","Homeowner","Number","Cost-burdened Households",1910
"Enfield","0900325990","2012-2016","Homeowner","Number","Margins of Error",232.17
"Enfield","0900325990","2012-2016","Homeowner","Percent","Cost-burdened Households",23.5
"Enfield","0900325990","2012-2016","Homeowner","Percent","Margins of Error",2.59
"Enfield","0900325990","2012-2016","Renter","Number","Cost-burdened Households",1652
"Enfield","0900325990","2012-2016","Renter","Number","Margins of Error",295.1
"Enfield","0900325990","2012-2016","Renter","Percent","Cost-burdened Households",40.6
"Enfield","0900325990","2012-2016","Renter","Percent","Margins of Error",7.02
"Enfield","0900325990","2013-2017","All","Number","Cost-burdened Households",3677
"Enfield","0900325990","2013-2017","All","Number","Margins of Error",351.09
"Enfield","0900325990","2013-2017","All","Percent","Cost-burdened Households",29.81
"Enfield","0900325990","2013-2017","All","Percent","Margins of Error",2.6
"Enfield","0900325990","2013-2017","Homeowner","Number","Cost-burdened Households",1939
"Enfield","0900325990","2013-2017","Homeowner","Number","Margins of Error",229.72
"Enfield","0900325990","2013-2017","Homeowner","Percent","Cost-burdened Households",23.4
"Enfield","0900325990","2013-2017","Homeowner","Percent","Margins of Error",2.69
"Enfield","0900325990","2013-2017","Renter","Number","Cost-burdened Households",1738
"Enfield","0900325990","2013-2017","Renter","Number","Margins of Error",265.51
"Enfield","0900325990","2013-2017","Renter","Percent","Cost-burdened Households",42.8
"Enfield","0900325990","2013-2017","Renter","Percent","Margins of Error",6.24
"Enfield","0900325990","2014-2018","All","Number","Cost-burdened Households",3759
"Enfield","0900325990","2014-2018","All","Number","Margins of Error",354.29
"Enfield","0900325990","2014-2018","All","Percent","Cost-burdened Households",30.63
